property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
RH1,JAN,rbf,scale,64,0.0003,5.43,6.44,5.37,7.11,219,220,57
RH1,FEB,rbf,scale,1,0.00145,5.8,6.39,6.63,7.77,214,220,57
RH1,MAR,rbf,scale,68,0.1,5.86,5.69,8.03,8.38,37,220,57
RH1,APR,rbf,scale,32,0.1,5.8,5.63,9.04,8.69,37,220,57
RH1,MAY,rbf,scale,36,0.0006,5.52,5.29,9.24,6.78,217,220,57
RH1,JUN,rbf,scale,50,0.0009701,4.17,5.01,4.08,5.05,217,220,57
RH1,JUL,rbf,scale,44,0.0021,3.85,3.77,3.19,3.62,210,220,57
RH1,AUG,rbf,scale,41,0.002,3.57,3.5,2.92,3.3,213,220,57
RH1,SEP,rbf,scale,11,0.001,3.18,3.78,2.78,3.22,217,220,57
RH1,OCT,rbf,scale,43,0.0009,3.7,4.26,3.58,4.44,216,220,57
RH1,NOV,rbf,scale,39,0.0001,4.8,6.1,5.04,7.14,220,220,57
RH1,DEC,rbf,scale,84,0.0017,5.47,7.57,5.39,7.71,213,220,57
